--------- beginning of /dev/log/system
I/Genyd   (   56): Genyd running
D/local_opengl(  109): Starting local_opengl
I/Vold    (  106): Vold 2.1 (the revenge) firing up
D/Vold    (  106): Volume usb state changing -1 (Initializing) -> 0 (No-Media)
D/Genyd   (   56): Received Get Capabilities
D/        (   56): Socket deconnection
D/Genyd   (   56): Received Get GenymotionVersion
D/Genymotion(   56): Received Get GenymotionVersion
I/genymotion_audio(  119): Starting pcm server
I/genymotion_audio(  119): out sampling rate 44100
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
D/Genyd   (   56): Received Set Clipboard
D/Genymotion(   56): Received Set Clipboard
W/PackageManager(  288): Unknown permission com.google.android.apps.enterprise.dmagent.permission.AutoSyncPermission in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.LOCATION_HARDWARE in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.GET_APP_OPS_STATS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.UPDATE_APP_OPS_STATS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_AUDIO_HOTWORD in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.MANAGE_VOICE_KEYPHRASES in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.REAL_GET_TASKS in package com.google.android.gms
W/PackageManager(  288): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.ACCESS_NETWORK_CONDITIONS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.MANAGE_DEVICE_ADMINS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.READ_WIFI_CREDENTIAL in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.MODIFY_PHONE_STATE to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.CONTROL_INCALL_EXPERIENCE in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.MANAGE_USB to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Not granting permission android.permission.CALL_PRIVILEGED to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.BLUETOOTH_PRIVILEGED in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.USER_ACTIVITY in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.MODIFY_AUDIO_ROUTING in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_AUDIO_OUTPUT in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_VIDEO_OUTPUT in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_SECURE_VIDEO_OUTPUT in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.READ_FRAME_BUFFER to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission com.google.android.wearable.READ_SETTINGS in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.MODIFY_NETWORK_ACCOUNTING to package com.google.android.gms (protectionLevel=18 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.BODY_SENSORS in package com.google.android.gms
W/PackageManager(  288): Unknown permission com.google.android.gm.permission.READ_GMAIL in package com.google.android.gms
W/PackageManager(  288): Unknown permission com.android.voicemail.permission.READ_VOICEMAIL in package com.google.android.gms
W/PackageManager(  288): Not granting permission android.permission.FORCE_STOP_PACKAGES to package com.google.android.gms (protectionLevel=2 flags=0x83e44)
W/PackageManager(  288): Unknown permission android.permission.MANAGE_DOCUMENTS in package com.google.android.gms
W/PackageManager(  288): Unknown permission android.permission.READ_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  288): Unknown permission android.permission.WRITE_OWNER_DATA in package com.google.android.setupwizard
W/PackageManager(  288): Unknown permission com.google.android.voicesearch.SHORTCUTS_ACCESS in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.ears.permission.WRITE in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.MEDIA_CONTENT_CONTROL in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.INTERACT_ACROSS_USERS in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.googlenav.friend.permission.OPT_IN in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.apps.maps.permission.PREFETCH in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.REAL_GET_TASKS in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.gm.permission.AUTO_SEND in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.google.android.hangouts.START_HANGOUT in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.MANAGE_VOICE_KEYPHRASES in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission com.android.chrome.PRERENDER_URL in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.CAPTURE_AUDIO_HOTWORD in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Not granting permission android.permission.STOP_APP_SWITCHES to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x1bbec5)
W/PackageManager(  288): Not granting permission android.permission.STATUS_BAR to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x1bbec5)
W/PackageManager(  288): Not granting permission android.permission.BIND_APPWIDGET to package com.google.android.googlequicksearchbox (protectionLevel=18 flags=0x1bbec5)
W/PackageManager(  288): Unknown permission com.google.android.launcher.permission.CONTENT_REDIRECT in package com.google.android.googlequicksearchbox
W/PackageManager(  288): Unknown permission android.permission.REAL_GET_TASKS in package com.android.vending
W/PackageManager(  288): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.vending (protectionLevel=2 flags=0xabec5)
W/PackageManager(  288): Unknown permission android.permission.MANAGE_USERS in package com.android.vending
W/PackageManager(  288): Unknown permission android.permission.INTERACT_ACROSS_USERS in package com.android.vending
W/PackageManager(  288): Not granting permission android.permission.WRITE_SECURE_SETTINGS to package com.android.vending (protectionLevel=50 flags=0xabec5)
W/PackageManager(  288): Not granting permission android.permission.FORCE_STOP_PACKAGES to package com.android.vending (protectionLevel=2 flags=0xabec5)
W/PackageManager(  288): Not granting permission android.permission.DEVICE_POWER to package com.android.deskclock (protectionLevel=2 flags=0x8be45)
D/dalvikvm(  288): GC_CONCURRENT freed 288K, 8% free 10447K/11271K, paused 12ms+1ms, total 19ms
D/dalvikvm(  288): WAIT_FOR_CONCURRENT_GC blocked 0ms
D/dalvikvm(  288): GC_EXPLICIT freed 183K, 8% free 10383K/11271K, paused 0ms+0ms, total 14ms
I/SystemServer(  288): Account Manager
D/PackageManager(  288): generateServicesMap(android.accounts.AccountAuthenticator): 3 services unchanged
I/SystemServer(  288): Content Manager
D/PackageManager(  288): generateServicesMap(android.content.SyncAdapter): 23 services unchanged
I/ActivityThread(  288): Pub settings: com.android.providers.settings.SettingsProvider
I/SystemServer(  288): System Content Providers
D/SettingsProvider(  288): cache for settings table 'secure' rows=57; fullycached=true
D/SettingsProvider(  288): cache for settings table 'system' rows=52; fullycached=true
I/SystemServer(  288): Lights Service
I/SystemServer(  288): Battery Service
I/SystemServer(  288): Vibrator Service
E/libsuspend(  288): Error opening /sys/power/autosleep: No such file or directory
